u, v, d, x, y, z 
438.0, 365.0, 0.2777525187, 0.5695894588, -0.0399276532, 1.1506367249
436.0, 322.0, 0.2754300237, 0.5707380624, -0.0385786454, 1.1717941124
443.0, 284.0, 0.2679975033, 0.5674850867, -0.0404155695, 1.192038182
446.0, 249.0, 0.2677974999, 0.5704310133, -0.0396244563, 1.2109962673
446.0, 205.0, 0.2620000243, 0.5680932182, -0.0401215013, 1.2320574706
439.0, 168.0, 0.2609850168, 0.5709998911, -0.0372127095, 1.251098033
403.0, 368.0, 0.279137522, 0.5707933495, -0.0208745686, 1.1471914443
397.0, 325.0, 0.2703575194, 0.5684201422, -0.0195998639, 1.1720045528
398.0, 284.0, 0.2712400258, 0.5701305794, -0.0184682255, 1.1914937583
402.0, 251.0, 0.2676325142, 0.5696003298, -0.0200901267, 1.2099027766
399.0, 204.0, 0.261950016, 0.5690130729, -0.0196564012, 1.2319601542
401.0, 170.0, 0.2373700142, 0.5700946862, -0.0183545396, 1.2508464035
360.0, 370.0, 0.2803975046, 0.570538821, -0.0008833611, 1.1467149897
360.0, 324.0, 0.2737475038, 0.569394425, 0.0009176543, 1.1721741577
356.0, 285.0, 0.2708500028, 0.5701852653, 0.0017260785, 1.1915209531
360.0, 250.0, 0.2668625116, 0.5696778735, 0.0008705847, 1.2104051691
359.0, 205.0, 0.2655700147, 0.5698083946, 0.0001445206, 1.2315129299
362.0, 170.0, 0.2603200078, 0.5696219052, -0.000792495, 1.2501545748
319.0, 371.0, 0.2780000269, 0.5701130415, 0.0206097813, 1.1472247155
320.0, 325.0, 0.2718999982, 0.5693419932, 0.0195664662, 1.1717037645
314.0, 287.0, 0.2675800025, 0.5689693867, 0.0208839266, 1.1920093221
316.0, 250.0, 0.2649425268, 0.570326009, 0.0215447603, 1.2101403565
322.0, 214.0, 0.2614725232, 0.5695492692, 0.0195696642, 1.2302924714
316.0, 172.0, 0.2570475042, 0.569174405, 0.020796478, 1.2514213823
282.0, 372.0, 0.2787050009, 0.5706090133, 0.0391366948, 1.1465203692
272.0, 325.0, 0.2693600059, 0.5690599565, 0.041614289, 1.1730450569
278.0, 289.0, 0.2688499987, 0.5696917199, 0.0397797954, 1.1904543758
278.0, 251.0, 0.2637400031, 0.5686132726, 0.0394826569, 1.2116701388
278.0, 213.0, 0.2611525059, 0.5706442581, 0.0403152788, 1.2308962895
270.0, 169.0, 0.2581875026, 0.5701521217, 0.0422385107, 1.250676704
243.0, 374.0, 0.2770350277, 0.5703980014, 0.0595413802, 1.1472492226
236.0, 325.0, 0.2701850235, 0.5686246473, 0.0611477365, 1.172495284
237.0, 291.0, 0.2689700127, 0.5703555505, 0.0603541718, 1.1906604254
233.0, 254.0, 0.2629400194, 0.5683038676, 0.0606328328, 1.2109866452
231.0, 213.0, 0.2617475092, 0.5707255218, 0.0618059289, 1.2309460866
237.0, 171.0, 0.2573250234, 0.5697659591, 0.0591169911, 1.2502714046
